"Date","Category","Usage","ResCount","SubCount"
"2022-01-16T07:00:01Z","Metrics","61.23","11365","2857"
"2022-01-16T07:00:01Z","EventHub","53.39","6430","227"
"2022-01-16T07:00:01Z","SysLogs","0.05","10","2"
"2022-01-16T07:00:01Z","BlobStorage","0.01","8","3"
"2022-01-09T07:00:01Z","TableStorage","99.72","34441","3416"
"2022-01-09T07:00:01Z","PerformanceCounters","48.92","10102","2765"
"2022-01-09T07:00:01Z","Metrics","48","9699","2677"
"2022-01-09T07:00:01Z","EventHub","41.09","5076","215"
"2022-01-09T07:00:01Z","BlobStorage","0.01","3","3"
"2022-01-09T07:00:01Z","FileLogs","0","0","0"
"2022-01-09T07:00:01Z","SysLogs","0","0","0"
"2022-01-02T07:00:01Z","TableStorage","99.61","18822","2831"
"2022-01-02T07:00:01Z","FileLogs","0","0","0"
"2022-01-02T07:00:01Z","SysLogs","0","0","0"
"2022-01-02T07:00:01Z","BlobStorage","0.03","7","5"
"2022-01-02T07:00:01Z","EventHub","47.04","4221","197"
"2022-01-02T07:00:01Z","Metrics","60.27","8588","2185"
"2022-01-02T07:00:01Z","PerformanceCounters","61.02","8862","2250"
"2021-12-26T07:00:01Z","TableStorage","99.91","10952","1891"
"2021-12-26T07:00:01Z","Metrics","62.9","4546","1412"
"2021-12-26T07:00:01Z","EventHub","51.04","2236","160"
"2021-12-26T07:00:01Z","SysLogs","0.05","2","1"
"2021-12-26T07:00:01Z","BlobStorage","0.02","1","1"
"2021-12-26T07:00:01Z","FileLogs","0","0","0"
"2021-12-26T07:00:01Z","PerformanceCounters","63.36","4737","1459"
"2021-12-19T07:00:01Z","PerformanceCounters","62.73","8006","2214"
"2021-12-19T07:00:01Z","Metrics","62.11","7773","2164"
"2021-12-19T07:00:01Z","EventHub","46.75","3799","194"
"2021-12-19T07:00:01Z","SysLogs","0","0","0"
"2021-12-19T07:00:01Z","FileLogs","0","0","0"
"2021-12-19T07:00:01Z","BlobStorage","0.02","2","2"
"2021-12-19T07:00:01Z","TableStorage","99.67","16604","2755"
"2021-12-12T07:00:01Z","Metrics","49.23","9752","2866"
"2021-12-12T07:00:01Z","TableStorage","99.53","23901","3563"
"2021-12-12T07:00:01Z","PerformanceCounters","49.98","10076","2934"
"2021-12-12T07:00:01Z","EventHub","32.8","5143","228"
"2021-12-12T07:00:01Z","BlobStorage","0.03","11","4"
"2021-12-12T07:00:01Z","SysLogs","0","2","2"
"2021-12-12T07:00:01Z","FileLogs","0","1","1"
"2021-12-05T07:00:01Z","TableStorage","99.41","47440","3621"
"2021-12-05T07:00:01Z","Metrics","31.23","9642","2883"
"2021-12-05T07:00:01Z","EventHub","16.88","4847","230"
"2021-12-05T07:00:01Z","BlobStorage","0.03","12","4"
"2021-12-05T07:00:01Z","FileLogs","0","0","0"
"2021-12-05T07:00:01Z","SysLogs","0","3","1"
"2021-12-05T07:00:01Z","PerformanceCounters","31.54","9388","2958"
"2021-11-28T07:00:01Z","SysLogs","0","0","0"
"2021-11-28T07:00:01Z","FileLogs","0","0","0"
"2021-11-28T07:00:01Z","TableStorage","99.61","34094","3753"
"2021-11-28T07:00:01Z","PerformanceCounters","42.55","9405","3129"
"2021-11-28T07:00:01Z","Metrics","41.62","9065","3055"
"2021-11-28T07:00:01Z","EventHub","24.44","4356","411"
"2021-11-28T07:00:01Z","BlobStorage","0.06","10","5"
"2021-11-21T07:00:01Z","EventHub","28.23","5131","649"
"2021-11-21T07:00:01Z","TableStorage","99.56","23225","3851"
"2021-11-21T07:00:01Z","PerformanceCounters","49.62","9843","3150"
"2021-11-21T07:00:01Z","Metrics","48.83","9582","3068"
"2021-11-21T07:00:01Z","BlobStorage","0.03","4","2"
"2021-11-21T07:00:01Z","SysLogs","0.01","4","2"
"2021-11-21T07:00:01Z","FileLogs","0","0","0"
"2021-11-14T07:00:01Z","SysLogs","0.01","7","4"
"2021-11-14T07:00:01Z","PerformanceCounters","44.32","9429","3015"
"2021-11-14T07:00:01Z","Metrics","43.16","9052","2907"
"2021-11-14T07:00:01Z","EventHub","23.81","4084","239"
"2021-11-14T07:00:01Z","BlobStorage","0.03","5","4"
"2021-11-14T07:00:01Z","FileLogs","0","0","0"
"2021-11-14T07:00:01Z","TableStorage","99.51","28007","3715"
"2021-11-07T07:00:01Z","FileLogs","0","0","0"
"2021-11-07T07:00:01Z","TableStorage","99.65","29243","4174"
"2021-11-07T07:00:01Z","PerformanceCounters","48.47","11095","3445"
"2021-11-07T07:00:01Z","Metrics","47.46","10758","3366"
"2021-11-07T07:00:01Z","EventHub","28.61","5209","732"
"2021-11-07T07:00:01Z","SysLogs","0.01","3","1"
"2021-11-07T07:00:01Z","BlobStorage","0.01","3","2"
"2021-10-31T07:00:01Z","SysLogs","0","0","0"
"2021-10-31T07:00:01Z","FileLogs","0","0","0"
"2021-10-31T07:00:01Z","BlobStorage","0","1","1"
"2021-10-31T07:00:01Z","EventHub","34.65","7321","298"
"2021-10-31T07:00:01Z","Metrics","52.87","13478","2715"
"2021-10-31T07:00:01Z","PerformanceCounters","54.18","13928","2810"
"2021-10-31T07:00:01Z","TableStorage","99.43","29153","3419"
"2021-10-24T07:00:01Z","FileLogs","0","0","0"
"2021-10-24T07:00:01Z","SysLogs","0.01","4","4"
"2021-10-24T07:00:01Z","BlobStorage","0.01","7","3"
"2021-10-24T07:00:01Z","EventHub","21.91","4413","206"
"2021-10-24T07:00:01Z","Metrics","39.55","10800","2950"
"2021-10-24T07:00:01Z","TableStorage","99.51","41876","3604"
"2021-10-24T07:00:01Z","PerformanceCounters","40.43","11126","3052"
"2021-10-17T07:00:01Z","SysLogs","0","2","2"
"2021-10-17T07:00:01Z","TableStorage","99.69","34356","3644"
"2021-10-17T07:00:01Z","PerformanceCounters","55.31","11511","3049"
"2021-10-17T07:00:01Z","Metrics","54.43","11269","2961"
"2021-10-17T07:00:01Z","EventHub","38.33","5386","201"
"2021-10-17T07:00:01Z","BlobStorage","0.01","3","2"
"2021-10-17T07:00:01Z","FileLogs","0","0","0"
"2021-10-10T07:00:01Z","TableStorage","99.52","32396","3524"
"2021-10-10T07:00:01Z","PerformanceCounters","42.4","11351","2935"
"2021-10-10T07:00:01Z","SysLogs","0","0","0"
"2021-10-10T07:00:01Z","FileLogs","0","0","0"
"2021-10-10T07:00:01Z","BlobStorage","0.06","29","6"
"2021-10-10T07:00:01Z","EventHub","23.71","3375","204"
"2021-10-10T07:00:01Z","Metrics","41.64","11209","2862"
"2021-10-03T07:00:01Z","PerformanceCounters","42.12","9552","3067"
"2021-10-03T07:00:01Z","TableStorage","99.67","25726","3667"
"2021-10-03T07:00:01Z","SysLogs","0.01","5","2"
"2021-10-03T07:00:01Z","EventHub","26.61","3538","211"
"2021-10-03T07:00:01Z","FileLogs","0","0","0"
"2021-10-03T07:00:01Z","BlobStorage","0.05","36","4"
"2021-10-03T07:00:01Z","Metrics","41.31","9190","2974"
"2021-09-26T07:00:01Z","FileLogs","0","0","0"
"2021-09-26T07:00:01Z","BlobStorage","0.02","13","2"
"2021-09-26T07:00:01Z","EventHub","22.72","3366","189"
"2021-09-26T07:00:01Z","Metrics","38.88","9336","2967"
"2021-09-26T07:00:01Z","PerformanceCounters","39.81","9723","3055"
"2021-09-26T07:00:01Z","TableStorage","99.39","25648","3590"
"2021-09-26T07:00:01Z","SysLogs","0","1","1"
"2021-09-19T07:00:01Z","BlobStorage","0","0","0"
"2021-09-19T07:00:01Z","SysLogs","0","2","2"
"2021-09-19T07:00:01Z","FileLogs","0","0","0"
"2021-09-19T07:00:01Z","EventHub","21.59","4198","214"
"2021-09-19T07:00:01Z","Metrics","35.1","10420","3072"
"2021-09-19T07:00:01Z","PerformanceCounters","35.99","10788","3158"
"2021-09-19T07:00:01Z","TableStorage","99.5","39869","3691"
"2021-09-12T07:00:01Z","SysLogs","0","1","1"
"2021-09-12T07:00:01Z","BlobStorage","0","1","1"
"2021-09-12T07:00:01Z","EventHub","25.66","3797","194"
"2021-09-12T07:00:01Z","Metrics","41.94","10128","2990"
"2021-09-12T07:00:01Z","PerformanceCounters","42.42","10518","3081"
"2021-09-12T07:00:01Z","TableStorage","99.53","29408","3608"
"2021-09-12T07:00:01Z","FileLogs","0","0","0"
"2021-09-05T07:00:01Z","BlobStorage","0","1","1"
"2021-09-05T07:00:01Z","FileLogs","0","0","0"
"2021-09-05T07:00:01Z","SysLogs","0.01","5","3"
"2021-09-05T07:00:01Z","EventHub","20.57","4064","178"
"2021-09-05T07:00:01Z","Metrics","33.7","8490","2489"
"2021-09-05T07:00:01Z","PerformanceCounters","36.94","8766","2581"
"2021-09-05T07:00:01Z","TableStorage","99.11","37840","3055"
